state,action
"[np.int32(3), 0]","2"
"[np.int32(3), 0]","2"
"[np.int32(3), 0]","3"
"[np.int32(3), 1]","4"
"[np.int32(3), 1]","1"
"[np.int32(4), 1]","2"
"[np.int32(4), 0]","3"
"[np.int32(4), 1]","3"
"[np.int32(4), 2]","1"
"[np.int32(5), 2]","3"
"[np.int32(5), 3]","4"
"[np.int32(5), 3]","2"
"[np.int32(5), 2]","3"
"[np.int32(5), 3]","1"
"[np.int32(6), 3]","3"
"[np.int32(6), 4]","0"
"[np.int32(5), 4]","3"
"[np.int32(9), np.int32(4)]","0"
"[np.int32(8), np.int32(4)]","0"
"[np.int32(7), np.int32(4)]","0"
"[np.int32(6), np.int32(4)]","0"
"[np.int32(5), np.int32(4)]","3"
"[np.int32(1), np.int32(0)]","2"
"[np.int32(1), 0]","2"
"[np.int32(1), 0]","2"
"[np.int32(1), 0]","2"
"[np.int32(1), 0]","2"
"[np.int32(1), 0]","4"
"[np.int32(1), 0]","2"
"[np.int32(1), 0]","1"
"[np.int32(2), 0]","3"
"[np.int32(2), 1]","0"
"[np.int32(1), 1]","1"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","2"
"[np.int32(2), 0]","3"
"[np.int32(2), 1]","2"
"[np.int32(2), 0]","3"
"[np.int32(2), 1]","4"
"[np.int32(2), 1]","3"
"[np.int32(2), 2]","0"
"[np.int32(1), 2]","4"
"[np.int32(1), 2]","0"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","0"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","4"
"[0, 2]","1"
"[1, 2]","1"
"[2, 2]","0"
"[1, 2]","2"
"[1, 1]","1"
"[2, 1]","1"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","0"
"[2, 1]","1"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","0"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","0"
"[1, 1]","1"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","1"
"[3, 1]","4"
"[3, 1]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","3"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
